,gender,living_in_UK,fq1,fq2,fq3,fq4,fq5,fq6,fq7,Healthiness_trait,fillingness_trait,intention_to_cook,healthiness_state,fillingness_state,healthiness,fillingness
5dbf1f696849043c9ad53b7f,male,born_here,1,4,2,4,0,5,4,-0.208333333,0.208333333,0.6,1,1,0.395833334,0.604166667
5d20d449ebebd10001cb2740,female,not_in_UK,5,3,5,4,5,3,2,0.125,0,5,1,1,0.5625,0.5
5b745e5224dc7900017e0d3e,male,born_here,2,3,3,2,3,1,1,0,-0.041666667,4.2,0,1,0,0.479166667
5d540a99a620c10016640923,female,more_10y,3,2,3,2,4,4,3,0.083333333,-0.041666667,6,0,0,0.041666667,-0.020833334
5d7b411b16c9af0001b42540,female,not_in_UK,2,5,3,4,5,5,5,-0.166666667,-0.041666667,5.2,-1,-1,-0.583333334,-0.520833334
5728fa200802f2000f3ef195,female,born_here,3,2,3,3,3,4,3,0.041666667,0.041666667,5.8,1,1,0.520833334,0.520833334
5d83908c167afc00192098da,female,not_in_UK,0,2,2,3,5,5,5,-0.125,-0.083333333,4.8,0,1,-0.0625,0.458333334
5d697ea28572fc000126b779,female,not_in_UK,3,3,2,4,5,4,4,-0.083333333,-0.041666667,4.6,1,-1,0.458333334,-0.520833334
5b94df0a1aea7c00010a9668,female,born_here,1,5,0,2,3,3,5,-0.25,-0.125,0,1,1,0.375,0.4375
5d4043f25458cb0001d164a0,female,born_here,5,4,4,2,5,4,5,0.125,-0.166666667,5,1,1,0.5625,0.416666667
5d02c8fb0b54cc0019dad435,male,not_in_UK,0,5,3,5,0,3,3,-0.291666667,0.208333333,6,-1,-1,-0.645833334,-0.395833334
5d19cf08a61758001a10f45d,female,born_here,2,3,3,3,3,3,1,-0.041666667,0.083333333,1,0,-1,-0.020833334,-0.458333334
5b86e638911057000112a4c0,female,more_10y,3,3,2,3,2,4,2,-0.041666667,0.125,1.6,1,-1,0.479166667,-0.4375
5aa8890a35237b0001131ea3,female,not_in_UK,3,3,3,2,4,5,4,0.041666667,-0.041666667,4.2,0,-1,0.020833334,-0.520833334
5bf70f0918430e000185be88,male,not_in_UK,2,5,4,3,6,5,5,-0.083333333,-0.125,4,0,1,-0.041666667,0.4375
5c862845c2ceec001719a6bd,male,not_in_UK,0,1,2,2,0,4,4,-0.041666667,0.083333333,2.4,0,-1,-0.020833334,-0.458333334
5c5c54c900b69200011bb9b2,male,not_in_UK,0,1,2,2,3,3,2,-0.041666667,0,3.8,1,-1,0.479166667,-0.5
578901354a84da00014c41cf,male,not_in_UK,4,2,1,5,4,4,4,-0.083333333,0.041666667,4.8,0,-1,-0.041666667,-0.479166667
5c4196dae14431000107574d,female,born_here,1,2,4,2,6,4,5,0.041666667,-0.208333333,2,0,-1,0.020833334,-0.604166667
5d4d038ec270cd001931da3e,male,not_in_UK,4,3,4,4,5,5,5,0.041666667,-0.041666667,5.6,0,1,0.020833334,0.479166667
5c5297ba1841c80001393988,male,not_in_UK,3,4,0,3,5,5,4,-0.166666667,-0.041666667,5,1,-1,0.416666667,-0.520833334
5d242f0f7e87460001593ce1,female,not_in_UK,2,4,2,3,4,4,4,-0.125,-0.041666667,2,1,-1,0.4375,-0.520833334
5932e2c8b97ad00001745487,male,born_here,5,4,4,2,2,3,3,0.125,0,4.8,1,1,0.5625,0.5
